Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
ClubMonaco,Expired 20% off The Women's Beach Shop @ Club Monaco,"Club Monaco offers 20% off the Beach Shop collection.
Free shipping on orders $150+, via coupon code ""FREESHIP"".
Deal ends 6/3
$65.60 $82.00
Club Monaco Hat Attack Flamingo Clutch
$70.40 $88.00
Club Monaco Solid & Striped Milly Top
$119.20 $149.00
Club Monaco Marysia Mott Top",06/03/2018,06/03/2018,3,48,7
ClubMonaco,Expired 25% Off Your Purchase @ Club Monaco,"Club Monaco offers 25% off your entire purchase, via coupon code ""WARMWELCOME"".
No code required.
Free shipping on orders $150+, via coupon code ""FREESHIP"".
Deal ends 5/28
$74.25 $188.00
Club Monaco Strils Silk Wrap Top
$74.25 $125.00
Club Monaco Ractor Skirt
$89.25 $168.00
Club Monaco Loudra Skirt",05/29/2018,05/28/2018,2,171,21
ClubMonaco,"Expired Last Day: 25% Off Dresses, Jumpsuits& Rompers @ Club Monaco","Club Monaco offers 25% off SS2018 new dresses, jumsuits and rompers sale.
No code required.
Free shipping on orders $150+, via coupon code ""FREESHIP"".
Deal ends 5/20
$96.75 $188.00
Club Monaco Shapira Dress
$111.75 $189.50
Club Monaco Flara Dress
$111.75 $229.00
Club Monaco Marisse Dress",05/21/2018,05/20/2018,8,101,23
ClubMonaco,Expired 20% Off 2 or more Items @ Club Monaco,"Club Monaco offers 20% off 2 or more Items via coupon code ""20FORUS"".
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 5/13.
$39.20 $78.00
Club Monaco Vallah Top
$79.20 $188.00
Club Monaco Strils Silk Wrap Top
$95.20 $168.00
Club Monaco Loudra Skirt",05/14/2018,05/13/2018,14,264,28
ClubMonaco,Expired 20% Off Sale Items favorites of the season @ Club Monaco,"Club Monaco offers 20% off favorites of the season items.
Free shipping on orders $150+,  via coupon code ""FREESHIP"".
Deal ends 5/6
$100.00 $125.00
Club Monaco Ractor Skirt
$71.60 $89.50
Club Monaco Amber Short
$76.00 $95.00
Club Monaco Lannah Top",05/04/2018,05/06/2018,4,61,4
ClubMonaco,Expired Additional 30% Off Sale Items Mid Season Sale @ Club Monaco,"Club Monaco offers an extra 30% off sale items.
Free shipping on orders $150+,  via coupon code ""FREESHIP"".
Deal ends 4/30.
$34.30 $78.00
Club Monaco Vallah Top
$34.30 $78.00
Club Monaco Vallah Top
$104.30 $228.00
Club Monaco Raffertiti Skirt",05/01/2018,04/30/2018,163,1048,293
ClubMonaco,Expired Additional 30% Off Sale Items Mid Season Sale @ Club Monaco,"Club Monaco offers additional 30% off sale items Mid Season Sale.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 4/30.
$83.30 $179.50
Club Monaco Ribbed Pocket Cardigan
$55.30 $129.50
Club Monaco Needle Punch Crew
$55.30 $139.50
Club Monaco Wool Henley Sweater",05/01/2018,04/30/2018,4,83,28
ClubMonaco,Expired Up to 60% off + an Extra 30% off @ Club Monaco,"Club Monaco offers an extra 60% off  plus an extra 30% off sale styles.
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 4/30
$104.30 $249.00
Club Monaco Sonti Vest
$97.30 $235.00
Club Monaco Lammont Silk Bomber
$69.30 $255.00
Club Monaco Lindawanna Jacket",05/01/2018,04/30/2018,16,99,25
ClubMonaco,Expired Up to 60% off + an Extra 30% off @ Club Monaco,"Club Monaco offers an extra 60% off  plus an extra 30% off sale styles.
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 4/30
$34.30 $78.00
Club Monaco Vallah Top
$34.30 $78.00
Club Monaco Vallah Top
$62.30 $129.50
Club Monaco Weylyn Shirt",05/01/2018,04/30/2018,4,62,15
ClubMonaco,Expired Up to 60% off + an Extra 30% off @ Club Monaco,"Club Monaco offers an extra 60% off  plus an extra 30% off sale styles.
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 4/30
$90.30 $249.00
Club Monaco Abbygail Silk Dress
$69.30 $269.00
Club Monaco Damarah Lace Dress
$104.30 $228.00
Club Monaco Raffertiti Skirt",05/01/2018,04/30/2018,12,216,41
